appId,appName,rank,cateId,cateName,tradeId,tradeName,developCompanyId,developCompanyAbbr,developCompanyFullName,monthActiveNums,monthActiveNumsRatio,dayActiveNums,dayActiveNumsRatio,status,statDateStr,monthStatDate,dayStatDate
3572480,宝宝地震安全,1795,101,教育,1011007,儿童教育,47,宝宝巴士,宝宝巴士(福建)网络科技有限公司,59.0672049133,-0.06514272644508821,,,1,,1543593600000,
2025834,火狐浏览器,1796,134,资讯,1341004,信息流资讯,885,谋智火狐,北京谋智火狐信息技术有限公司,58.90613133,0.10027263290814697,20.4809118683,0.05324607474291627,1,,1543593600000,1548691200000
3083940,汤姆猫的摩托艇,1797,320,竞速,3201066,跑酷,,,,58.78380932,-0.130211308333432,,,1,,1543593600000,
3092294,超级视频,1798,108,视频,1081081,综合视频,6338,汇聚天成,北京汇聚天成科技有限公司,58.7688255567,-0.1854357848296147,,,1,,1543593600000,
2033566,中英互译(com.messi.languagehelper),1799,111,实用工具,1111114,字典词典,,,,58.7160808267,0.007041130500758279,,,1,,1543593600000,
2014214,单机麻将（联众）,1800,318,TAB(桌面游戏),3181058,棋牌,1985,联众互动,北京联众互动网络股份有限公司,58.6552993133,-0.007911036300736404,,,1,,1543593600000,
5741744,小小突击队,1801,312,RPG(角色扮演游戏),3121040,MOBA(多人在线战术竞技游戏),5267,四三九九,广州四三九九信息科技有限公司,58.49614875,0.055071454069552134,,,1,,1543593600000,
2580152,台球帝国,1802,321,体育竞技,3211068,体育竞技,2586,鼎昊宏业,浙江鼎昊宏业科技股份有限公司,58.4756947567,-0.03083139467596405,,,1,,1543593600000,
2973545,Outlook,1803,102,商务办公,1021020,邮箱,243,微软中国,微软(中国)有限公司,58.4546333267,0.06028504309089033,,,1,,1543593600000,
5642720,Metro大都会,1804,132,交通出行,1171150,公共交通,51132,申通地铁集团,上海申通地铁集团有限公司,58.4399535433,0.057986716286031595,,,1,,1543593600000,
2795564,糖果传奇,1805,319,休闲,3191064,消除,2632,KING,KING,58.37598973,-0.05183382876422348,,,1,,1543593600000,
2021269,火拼双扣,1806,318,TAB(桌面游戏),3181058,棋牌,2776,杭州边锋,杭州边锋网络技术有限公司,58.3399103467,-0.007510572755271624,11.2503060609,0.023214819068625527,1,,1543593600000,1548691200000
2616909,爱吾破解游戏宝盒,1807,129,游戏媒体,1291073,游戏攻略,12468,爱吾游戏,爱吾游戏,58.3208876867,0.0630724276988594,,,1,,1543593600000,
2724645,百世汇通小件员,1808,104,生活,1111120,快递/配送,,,,58.2870262133,0.013362453912422129,,,1,,1543593600000,
3046489,小魔女大冒险,1809,101,教育,1011007,儿童教育,47,宝宝巴士,宝宝巴士(福建)网络科技有限公司,58.0885305267,-0.09394398915141017,,,1,,1543593600000,
2022434,船讯网,1810,106,旅游,1061071,旅游工具,662,亿海蓝,北京亿海蓝科技有限公司,57.92849931,-0.00017353384531616688,,,1,,1543593600000,
2671049,中华老黄历,1811,111,实用工具,1111119,日历应用,7678,广东凡跃,广东凡跃计算机系统股份有限公司,57.90359724,0.056538578914051174,,,1,,1543593600000,
2612264,三星杂志,1812,134,资讯,1101103,期刊杂志,131,掌中浩阅,北京掌中浩阅科技有限公司,57.8860627933,-0.03910440343976195,,,1,,1543593600000,
2998750,追啊,1813,108,视频,1081082,垂直视频,6192,多米无限,北京多米无限科技有限公司,57.82830752,-0.0565645496419306,,,1,,1543593600000,
3019539,消灭星星2015(com.abc.star),1814,319,休闲,3191064,消除,5247,赣州市掌龙,赣州市掌龙信息科技有限公司,57.7508095467,0.014519209912741181,,,1,,1543593600000,
